sugar,butter,egg,flour,milk,raising-agent,water,salt,syrup,label
120,110,34,145,0,0,0,0,0,biscuit
300,300,0,550,200,0,0,0,68,biscuit
160,115,52,155,0,1,0,0,0,biscuit
200,225,0,500,125,9,0,3,0,biscuit
87,200,31,225,0,0,0,0,0,biscuit
180,200,52,346,34,3,0,1.5,0,biscuit
200,110,104,440,0,6,0,3,0,biscuit
60,60,0,150,0,3,0,0,17,biscuit
100,225,0,225,0,3,0,1.5,0,biscuit
75,175,0,250,0,0,0,0,0,biscuit
68,100,0,150,0,0,0,0,0,biscuit
256,175,0,400,0,6,1,3,0,biscuit
100,125,22,250,0,3,0,1,120,biscuit
150,110,104,280,0,9,0,1.5,0,biscuit
100,100,52,200,17,0,0,1,0,biscuit
134,100,22,175,0,0,0,0,0,biscuit
420,220,104,375,0,6,0,6,0,biscuit
110,110,0,200,0,0,0,0,51,biscuit
50,50,44,140,0,6,0,1,25.5,biscuit
85,110,52,285,0,6,0,0,42.5,biscuit
420,225,104,310,160,12,0,3,0,biscuit
244,120,52,210,0,3,0,1,0,biscuit
56,150,0,200,0,0,0,0,0,biscuit
225,100,52,180,0,3,0,0.75,0,biscuit
225,175,52,275,0,6,0,3,0,biscuit
150,250,44,280,0,0,0,0,0,biscuit
110,181,52,200,0,3,0,0,0,biscuit
55,110,0,175,0,0,0,0,0,biscuit
400,111,52,750,77,6,0,3,0,biscuit
175,150,0,200,0,0,0,0,0,biscuit
200,0,156,250,0,3,0,0,0,biscuit
150,250,104,375,0,0,0,1,0,biscuit
60,85,0,110,111,0,0,0,0,biscuit
250,220,66,300,0,6,0,0,0,biscuit
200,100,52,375,0,6,0,3,0,biscuit
100,100,104,300,68,15,0,0,250,biscuit
120,40,32,70,0,0,0,0,0,biscuit
120,225,52,325,0,0,0,3,0,biscuit
137,340,0,350,0,0,0,1.5,0,biscuit
625,450,208,560,34,12,0,12,0,biscuit
50,80,0,250,0,0,0,1,0,biscuit
200,275,104,310,0,6,0,4.5,34,biscuit
190,175,52,215,85,0,0,0,0,biscuit
100,250,52,300,0,0,0,0,0,biscuit
400,0,312,500,0,12,0,0,0,biscuit
100,0,0,318,75,9,0,1.5,0,biscuit
65,60,44,125,0,0,0,0,0,biscuit
100,125,52,200,0,12,17,1,0,biscuit
100,150,52,150,0,0,0,0,0,biscuit
170,110,52,225,0,0,0,1,0,biscuit
55,170,0,170,0,0,0,0,0,biscuit
55,110,0,175,0,0,0,0,0,biscuit
68,125,0,250,0,0,0,0,34,biscuit
100,115,156,375,0,18,0,0,0,biscuit
100,50,0,180,68,9,0,3,0,biscuit
85,60,104,375,75,0,0,0,0,biscuit
80,75,52,150,0,6,0,1,0,biscuit
310,225,104,280,0,6,0,6,0,biscuit
185,350,0,375,0,0,0,4.5,0,biscuit
50,130,0,200,0,0,0,0,85,biscuit
320,80,52,250,0,12,0,0,0,biscuit
50,100,52,250,0,12,0,0,0,biscuit
120,60,104,190,0,6,0,1.5,0,biscuit
100,50,34,50,0,2,0,0,0,biscuit
68,115,0,125,0,0,0,1.5,0,biscuit
170,175,0,250,0,0,0,0,51,biscuit
275,400,0,225,597,0,0,0,68,biscuit
525,340,208,625,0,12,110,6,0,biscuit
100,100,0,225,0,0,0,0,34,biscuit
150,115,52,175,0,0,0,0,0,biscuit
210,110,52,226,0,6,0,3,0,biscuit
250,500,0,500,0,0,0,0,0,biscuit
153,68,32,210,0,3,0,0.75,0,biscuit
150,60,52,250,240,12,0,1,0,biscuit
184,225,0,250,0,0,350,0,0,biscuit
440,225,0,735,0,9,0,0,0,biscuit
200,188,156,400,0,17,0,0,0,biscuit
150,34,52,250,0,6,0,0,102,biscuit
175,170,104,310,0,6,3,1,0,biscuit
150,120,0,220,0,6,34,0,17,biscuit
60,120,0,120,0,0,0,0,0,biscuit
220,250,104,455,0,3,0,3,0,biscuit
500,750,0,1000,0,0,0,0,450,biscuit
540,75,53,175,34,3,17,0,0,biscuit
220,170,52,280,0,12,0,1.5,0,biscuit
125,250,0,375,397,12,0,0,0,biscuit
90,90,33,90,0,0,0,0,0,biscuit
56,225,22,350,0,0,0,0,0,biscuit
510,110,52,250,0,9,0,0,0,biscuit
85,85,52,170,0,0,0,0,0,biscuit
55,110,0,110,0,0,0,0,0,biscuit
85,102,0,160,0,0,0,0,280,biscuit
145,0,52,560,0,3,12,0,235,biscuit
110,225,0,450,0,0,0,0,0,biscuit
68,110,0,150,0,0,0,0,0,biscuit
375,225,104,425,34,6,0,3,0,biscuit
120,475,0,530,0,0,0,1,0,biscuit
275,325,0,350,0,0,34,0,0,biscuit
193,227,0,250,160,0,0,0,0,biscuit
115,85,52,170,0,0,0,0,0,biscuit
325,225,0,250,0,0,0,0.75,0,biscuit
100,110,44,200,0,3,0,1.5,0,biscuit
112,150,97,250,0,6,0,1,0,biscuit
200,110,0,125,6,6,0,0,0,biscuit
100,125,52,250,0,0,0,3,0,biscuit
100,150,52,250,0,0,0,0,0,biscuit
140,140,0,280,0,0,0,0,34,biscuit
235,400,0,360,225,0,0,0,51,biscuit
115,100,0,200,24,6,0,0,0,biscuit
185,110,0,170,0,0,59.5,0,0,biscuit
325,175,104,400,0,6,0,3,0,biscuit
150,140,110,210,0,12,0,0,0,biscuit
300,450,208,550,0,0,0,0,0,biscuit
200,75,156,280,0,17,0,0,0,biscuit
200,125,52,250,0,6,0,3,0,biscuit
140,225,22,225,85,0,0,1,0,biscuit
60,100,0,150,17,3,0,0,17,biscuit
200,450,0,500,0,6,0,0,0,biscuit
325,225,104,280,0,6,0,6,0,biscuit
85,85,0,160,12,0,0,0,51,biscuit
268,175,104,125,0,1.5,0,4.5,0,biscuit
420,220,104,330,0,12,0,0,0,biscuit
192,25,104,250,0,6,0,1,0,biscuit
100,200,52,125,0,3,0,0,0,biscuit
125,75,52,107,0,6,0,0,0,biscuit
150,225,179,250,0,0,17,3,0,biscuit
100,100,0,100,0,0,0,0,0,biscuit
200,134,0,175,0,6,0,0,17,biscuit
295,110,52,250,68,6,0,0,0,biscuit
370,250,104,625,250,12,0,3,0,biscuit
400,200,187,500,120,12,0,0,0,biscuit
640,450,208,600,0,6,0,3,0,biscuit
668,515,260,1000,425,0,0,9,0,biscuit
250,17,156,280,0,12,0,1,0,biscuit
100,170,0,170,0,0,0,0,0,biscuit
90,340,0,370,0,0,0,0,0,biscuit
100,125,52,300,0,0,0,0,0,biscuit
150,75,52,175,0,3,0,0,0,biscuit
100,75,104,125,0,3,0,0,0,biscuit
110,110,52,200,0,3,0,1.5,0,biscuit
110,150,52,190,0,0,0,0,0,biscuit
100,0,156,250,0,12,0,0,0,biscuit
225,225,52,375,0,0,0,3,0,biscuit
205,355,52,260,0,3,0,1.5,0,biscuit
400,675,0,830,0,18,0,6,0,biscuit
320,350,0,500,0,0,0,1,85,biscuit
156,60,74,250,0,0,0,0,0,biscuit
240,480,222,840,0,0,0,1,0,biscuit
90,250,0,190,0,0,0,0,0,biscuit
195,120,22,150,0,0,6,1,0,biscuit
275,275,52,375,0,17,0,3,0,biscuit
175,115,52,350,0,6,0,0,68,biscuit
250,0,156,250,0,12,0,0,0,biscuit
90,60,52,115,0,1.5,0,1.5,0,biscuit
100,50,0,180,68,9,0,1.5,0,biscuit
300,50,126,290,0,15,0,1.5,0,biscuit
175,175,0,200,0,0,0,0,17,biscuit
200,353,0,450,0,12,0,0,170,biscuit
285,225,0,250,0,0,0,0,250,biscuit
175,150,0,200,24,0,0,0,0,biscuit
150,225,52,500,0,4.5,0,0,225,biscuit
120,280,0,250,68,0,0,0,0,biscuit
330,225,52,128,0,6,0,0,0,biscuit
180,225,52,300,0,6,0,0,0,biscuit
500,250,32,600,0,12,0,0,119,biscuit
325,225,104,390,0,12,0,6,0,biscuit
68,70,52,141,0,0,0,0,0,biscuit
50,100,0,180,120,0,0,0,0,biscuit
55,110,0,170,0,0,0,0,0,biscuit
420,460,52,520,336,6,0,3,0,biscuit
400,478,52,500,0,0,0,0,0,biscuit
220,125,52,190,0,0,0,0,0,biscuit
360,360,104,480,0,24,0,6,0,biscuit
352,110,104,520,0,0,0,0,0,biscuit
186,250,104,425,0,6,0,2,0,biscuit
120,150,0,325,150,0,0,0,34,biscuit
75,150,0,175,0,0,0,1,0,biscuit
500,285,52,250,0,12,0,3,0,biscuit
320,110,32,260,0,6,17,3,0,biscuit
110,110,0,225,0,6,0,0,34,biscuit
250,250,0,350,0,6,0,0,0,biscuit
75,125,52,250,1,0,0,1,0,biscuit
450,255,104,595,397,6,0,9,0,biscuit
150,100,104,250,0,3,0,3,0,biscuit
85,85,22,100,0,0,0,1,0,biscuit
168,110,52,140,50,3,0,3,0,biscuit
140,140,104,275,0,9,0,1,0,biscuit
200,110,52,125,0,6,0,1.5,0,biscuit
300,225,132,310,0,6,0,0,0,biscuit
100,75,52,225,85,15,0,3,102,biscuit
75,75,52,150,0,0,0,1,0,biscuit
200,100,104,250,34,14.5,0,1.5,0,biscuit
90,77,0,175,0,6,0,0,34,biscuit
210,0,0,275,0,12,0,1.5,0,biscuit
118,112,52,224,0,6,0,3,0,biscuit
100,225,0,250,0,0,0,0,0,biscuit
200,200,104,500,0,9,0,0,120,biscuit
420,225,104,410,0,12,0,3,0,biscuit
100,150,44,210,0,3,0,0,0,biscuit
125,100,156,350,0,12,0,0,0,biscuit
120,120,135,220,0,6,0,1.5,0,biscuit
230,120,52,500,120,17,0,1,0,biscuit
367,200,104,350,0,12,0,1,0,biscuit
300,225,104,500,250,9,0,0,0,biscuit
150,150,0,200,0,0,0,0,34,biscuit
210,150,52,200,0,0,0,0,0,biscuit
220,125,52,270,190,6,0,0,0,biscuit
50,100,0,150,0,0,0,0,0,biscuit
125,125,0,250,0,0,0,0,85,biscuit
125,125,52,250,0,0,0,1.5,0,biscuit
100,34,104,125,400,6,0,0,0,biscuit
325,0,0,280,0,9,0,3,0,biscuit
66,110,0,170,0,0,0,0,0,biscuit
250,0,148,250,0,3,6,0,0,biscuit
125,100,22,125,0,3,0,0,0,biscuit
160,0,36,180,0,0,0,0,0,biscuit
110,110,0,195,0,6,6,0,6,biscuit
240,0,156,250,0,6,0,0,0,biscuit
185,75,104,100,0,6,0,0,0,biscuit
325,225,104,280,0,6,0,6,0,biscuit
50,50,0,50,0,0,0,0,34,biscuit
175,350,52,350,0,0,0,0,68,biscuit
400,30,208,500,0,6,0,1.5,0,biscuit
200,230,52,300,0,0,0,0,0,biscuit
400,450,260,750,0,25.5,0,6,0,biscuit
50,100,0,150,0,0,0,0,0,biscuit
320,240,156,200,0,6,75,3,0,biscuit
250,500,0,625,400,0,0,0,0,biscuit
55,125,0,180,0,0,0,0,0,biscuit
420,450,104,500,0,9,0,6,0,biscuit
150,110,104,250,0,9,0,1.5,0,biscuit
150,0,104,155,0,0,0,0,0,biscuit
212,325,135,500,0,0,0,0,0,biscuit
50,159,52,350,0,12,0,0,0,biscuit
220,225,22,250,0,0,0,0,0,biscuit
51,60,52,100,0,4.5,120,2.5,102,biscuit
60,60,52,225,0,0,0,0,0,biscuit
112,225,0,335,0,0,0,0,0,biscuit
170,190,0,280,0,4.5,51,1.5,0,biscuit
150,150,22,200,0,0,0,0,0,biscuit
70,200,31,250,0,0,0,0,0,biscuit
243,225,104,280,0,6,0,0,0,biscuit
200,325,52,250,6,18,0,3,0,biscuit
100,125,0,170,0,9,0,0,0,biscuit
170,225,104,450,0,0,0,0,0,biscuit
300,115,104,170,0,3,0,3,0,biscuit
300,225,312,440,0,24,0,0,0,biscuit
60,125,0,150,0,0,0,1,0,biscuit
50,110,0,225,0,0,0,0,51,biscuit
150,115,104,300,0,6,0,0,0,biscuit
110,110,0,160,0,0,0,3,0,biscuit
175,245,52,165,0,6,0,1.5,0,biscuit
237,250,104,500,0,6,0,1,0,biscuit
325,225,52,310,340,6,0,3,0,biscuit
188,130,52,310,60,24,0,1,0,biscuit
200,120,156,300,0,17,0,3,0,biscuit
300,0,52,500,0,12,0,1.5,0,biscuit
100,0,32,80,0,6,0,0,0,biscuit
212,200,166,120,0,0,0,0,0,biscuit
220,225,104,725,0,9,0,0,0,biscuit
200,150,104,250,0,15,0,0,0,biscuit
150,275,52,315,0,6,0,3,0,biscuit
150,60,22,220,0,1.5,0,1,0,biscuit
150,250,52,600,0,6,0,0,250,biscuit
50,100,0,200,0,0,0,0,68,biscuit
188.5,177,163,250,0,3,0,1,0,biscuit
220,175,104,310,0,7.5,34,3,0,biscuit
220,115,52,190,0,6,0,1.5,6,biscuit
110,225,0,275,0,0,0,0,0,biscuit
200,225,208,375,0,0,0,1.5,0,biscuit
272,225,0,250,68,0,0,1.5,0,biscuit
56,100,0,175,0,0,6,0,0,biscuit
426,142,104,296,0,0,0,0,0,biscuit
200,500,0,625,397,30,0,1,0,biscuit
136,375,0,125,0,1.5,168,1.5,0,biscuit
100,200,0,300,0,0,0,1,0,biscuit
300,225,104,475,0,12,0,0,0,biscuit
125,0,52,300,0,0,0,0,0,biscuit
300,225,52,310,0,9,0,3,0,biscuit
250,450,0,500,0,0,0,3,0,biscuit
175,0,0,285,0,0,0,0,0,biscuit
205,225,0,250,17,0,0,1.5,0,biscuit
320,225,104,450,0,6,0,0,0,biscuit
234,500,0,600,0,0,0,0,0,biscuit
250,370,0,250,300,0,0,0,68,biscuit
75,125,0,125,0,0,0,0,0,biscuit
200,470,104,125,0,9,0,0,0,biscuit
210,240,52,150,0,7.5,0,1.5,0,biscuit
115,115,0,175,0,0,0,0,17,biscuit
200,110,156,250,0,12,0,0,0,biscuit
165,115,52,190,25.5,9,0,3,0,biscuit
260,225,104,280,335,6,0,6,0,biscuit
232,204,44,300,0,0,0,1,0,biscuit
106,450,208,475,0,0,0,1,0,biscuit
600,450,52,875,0,24,0,0,0,biscuit
80,275,22,225,0,0,0,0,0,biscuit
210,255,52,185,0,0,0,0,0,biscuit
130,130,0,250,0,0,4,0,0,biscuit
136,125,0,375,0,6,0,0,0,biscuit
200,110,156,100,0,2,0,0,0,biscuit
150,159,0,200,0,3,0,0,34,biscuit
150,0,104,100,0,0,0,0,0,biscuit
192,25,104,250,0,6,0,1,0,biscuit
100,100,52,225,17,0,0,0,0,biscuit
210,240,52,190,0,6,0,1.5,0,biscuit
60,165,104,380,0,15,0,3,12.75,biscuit
420,225,156,460,0,12,0,6,0,biscuit
300,170,104,270,0,6,0,3,0,biscuit
75,75,0,125,0,0,0,0,30,biscuit
220,115,104,475,0,6,0,1.5,0,biscuit
250,250,104,500,0,0,0,0,0,biscuit
75,150,0,250,0,0,0,0,85,biscuit
75,125,0,150,0,0,0,0,100,biscuit
125,250,0,300,0,0,0,0,0,biscuit
215,275,0,250,0,0,0,0,0,biscuit
300,200,52,250,0,0,0,0,0,biscuit
110,0,52,150,350,6,0,0,0,biscuit
320,225,104,425,0,6,0,3,0,biscuit
400,250,0,500,0,12,0,0,0,biscuit
75,110,0,220,0,0,0,0,6,biscuit
100,150,52,220,0,0,0,3,0,biscuit
290,450,0,425,0,0,0,0,0,biscuit
250,250,208,450,0,6,0,1.5,0,biscuit
136,250,52,436,217,0,0,0,0,biscuit
420,225,104,250,0,12,0.75,24,0,biscuit
160,150,52,190,0,0,0,0,0,biscuit
150,150,104,320,0,6,0,3,0,biscuit
250,175,104,200,0,0,0,0,0,biscuit
100,125,0,250,0,0,0,0,68,biscuit
60,170,0,280,0,0,0,1,17,biscuit
100,225,0,250,0,1.5,0,1.5,0,biscuit
200,225,104,410,0,6,0,0,0,biscuit
85,75,0,150,0,0,0,0,34,biscuit
265,125,156,500,0,12,0,0,0,biscuit
150,68,104,225,0,6,0,1.5,0,biscuit
100,200,0,200,0,0,0,0,0,biscuit
268,110,104,125,0,6,0,0,0,biscuit
475,225,104,475,0,29,0,0,0,biscuit
75,115,0,80,0,0,0,0,51,biscuit
234,450,0,600,0,0,0,0,0,biscuit
320,170,74,250,0,3,0,3,0,biscuit
162,150,104,250,0,0,0,0,0,biscuit
425,115,135,500,0,6,0,6,225,biscuit
215,100,104,159,0,3,0,3,0,biscuit
185,110,104,145,0,3,0,0,0,biscuit
85,170,22,190,0,0,0,1,0,biscuit
131,250,104,350,0,0,0,0,0,biscuit
75,75,0,150,17,0,0,0,17,biscuit
180,115,104,165,0,6,0,0,0,biscuit
150,110,0,160,0,12,0,0,0,biscuit
160,175,52,275,0,6,0,1,0,biscuit
200,0,52,250,0,6,0,1,0,biscuit
75,175,0,225,0,0,0,0,55,biscuit
140,250,22,300,0,0,0,0,0,biscuit
100,100,52,175,0,3,0,0,0,biscuit
55,125,0,180,0,0,0,0,0,biscuit
90,124,0,180,84,0,0,0,34,biscuit
625,340,156,625,0,13.5,0,4.5,0,biscuit
125,125,0,250,0,0,0,0,34,biscuit
165,110,0,165,0,0,0,0,17,biscuit
225,115,104,285,0,3,0,0,0,biscuit
250,500,0,675,0,0,0,0,0,biscuit
200,225,0,250,60,12,0,0,0,biscuit
159,225,0,250,0,0,0,1.5,0,biscuit
300,235,0,300,0,24,250,0,175,biscuit
140,300,0,440,0,0,0,1,0,biscuit
240,450,0,535,0,6,0,0,0,biscuit
250,350,104,450,0,0,0,3,0,biscuit
155,155,0,250,397,0,0,0,25,biscuit
300,225,52,345,0,9,0,0,0,biscuit
200,170,52,280,0,12,0,3,60,biscuit
153,130,52,300,120,1.5,68,0,0,biscuit
200,180,52,240,0,12,0,3,60,biscuit
220,225,104,60,0,6,0,6,0,biscuit
110,60,52,125,0,3,0,0,0,biscuit
150,150,0,270,0,6,0,0,6,biscuit
320,90,74,165,51,0,0,0,0,biscuit
270,160,0,640,0,1.5,0,0,34,biscuit
420,175,104,150,0,0,0,0,0,biscuit
200,500,0,625,397,0,0,0,0,biscuit
150,225,104,280,0,3,0,1,0,biscuit
100,225,22,210,0,0,0,0,0,biscuit
200,315.75,0,500,175,0,0,0,0,biscuit
156,150,52,250,0,1,0,0,0,biscuit
210,122,52,155,0,4.5,0,3,0,biscuit
85,125,0,225,0,1.5,0,0,0,biscuit
75,100,0,175,34,0,0,0,34,biscuit
50,100,0,250,0,0,0,0,18,biscuit
210,110,52,185,0,3,6,1,0,biscuit
268,100,104,167.5,0,3,0,0,0,biscuit
200,0,156,350,0,24,0,0,80,biscuit
100,100,0,200,0,0,0,0,6,biscuit
70,100,0,100,0,0,0,1,0,biscuit
368,0,104,750,0,17,0,1.5,0,biscuit
210,220,104,280,0,6,0,3,0,biscuit
75,200,0,450,0,0,0,0,150,biscuit
420,50,156,250,34,6,0,0,0,biscuit
100,186,52,225,0,0,0,0,0,biscuit
345,175,104,305,0,4.5,0,6,0,biscuit
100,125,0,350,0,6,0,0,200,biscuit
70,90,0,200,0,6,0,0,34,biscuit
100,125,22,200,68,3,0,3,0,biscuit
106,200,74,250,0,0,34,1,0,biscuit
125,125,156,150,0,6,0,1,0,biscuit
50,50,260,600,0,0,0,0,0,biscuit
250,250,104,360,0,0,0,0,0,biscuit
80,50,52,200,0,8,0,1,0,biscuit
325,225,52,320,0,6,0,0,0,biscuit
55,125,0,110,0,0,0,0,55,biscuit
200,180,52,240,0,3,0,0,34,biscuit
425,110,156,280,0,0,0,0,0,biscuit
440,475,104,530,17,12,0,6,0,biscuit
100,60,222,350,0,0,0,3,0,biscuit
150,100,33,175,0,0,0,0,0,biscuit
500,350,156,750,250,23,0,1,0,biscuit
50,100,0,100,0,0,0,0,0,biscuit
125,250,66,300,0,0,0,0,0,biscuit
113,113,0,113,0,0,0,0,113,biscuit
420,225,104,450,34,12,0,6,0,biscuit
85,175,0,175,0,0,0,0,0,biscuit
155,115,52,150,0,3,0,3,0,biscuit
193,350,0,390,0,0,0,1.5,0,biscuit
100,50,0,180,68,9,0,3,0,biscuit
300,240,104,300,0,6,0,3,0,biscuit
420,225,104,410,0,12,0,6,0,biscuit
177,175,74,275,0,0,0,0,0,biscuit
90,225,0,220,0,0,0,0,0,biscuit
110,225,0,340,0,0,0,1.5,0,biscuit
150,175,52,200,0,6,0,1,0,biscuit
200,200,0,310,0,0,0,0,0,biscuit
150,67,52,165,0,6,0,0,0,biscuit
74,150,0,258,0,0,0,0,0,biscuit
50,100,0,100,0,0,0,0,0,biscuit
125,0,208,115,0,0,0,0.75,0,biscuit
110,200,52,250,0,0,0,0,0,biscuit
110,110,0,350,34,6,0,0,0,biscuit
75,75,52,125,0,6,0,0,0,biscuit
200,200,22,300,0,0,17,0,0,biscuit
330,120,52,225,0,0,0,0,51,biscuit
200,175,156,675,0,17,0,0,0,biscuit
261,210,52,200,0,0,0,0,34,biscuit
100,100,44,150,0,15,0,0,0,biscuit
125,250,0,320,17,0,0,0,0,biscuit
140,220,22,280,0,0,0,1,0,biscuit
350,250,104,475,0,6,0,3,0,biscuit
450,225,156,250,0,0,0,3,0,biscuit
435,170,53,250,0,6,0,0,0,biscuit
102,150,52,125,0,6.75,0,1,0,biscuit
136,175,0,260,0,0,0,0,0,biscuit
50,100,0,150,0,3,0,0,0,biscuit
420,225,104,450,0,12,0,3,0,biscuit
195,145,52,225,24,0,0,0,0,biscuit
160,175,0,185,0,0,0,0,0,biscuit
210,125,52,250,0,0,0,0,0,biscuit
100,200,0,285,0,0,0,0,0,biscuit
85,112,0,170,34,0,0,0,34,biscuit
192,300,44,500,0,0,0,0,0,biscuit
75,165,0,260,12,9,0,1.5,68,biscuit
200,170,52,165,0,4.5,42.5,1,0,biscuit
85,225,0,250,0,0,0,0,0,biscuit
425,225,0,375,0,6,7,3,0,biscuit
200,150,52,200,0,3,0,0,0,biscuit
295,160,52,300,0,12,0,0,0,biscuit
210,0,0,240,0,6,0,0,0,biscuit
169,210,0,280,0,0,0,0,0,biscuit
160,150,52,220,0,0,0,0,0,biscuit
